CÓDIGO;DESCRIÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRODUTO;PRODUTO;;0191;0192;0280;0580;0680;0791;0792;1091;1092;1093;1100;1200;1300;1400;1500;1600;1700;1800;1991;1992;2091;2092;2093;2100;2200;2300;2491;2492;2500;2600;2700;2800;2991;2992;3000;3180;3300;3500;3680;4180;4500;4680;4900;5000;5100;5280;5500;5600;5800;5980;6100;6280;6480;6800;6980;7180;7380;7700;7880;8000;8400;8591;8592;8691;8692;9080;9480;9700;;;;;;;;;;;;;;;;
Valores correntes em  1 000 000 R$;;;Agricultura, inclusive o apoio à agricultura e a pós-colheita;Pecuária, inclusive o apoio à pecuária;"Produção florestal; pesca e aquicultura";Extração de carvão mineral e de minerais não-metálicos;Extração de petróleo e gás, inclusive as atividades de apoio;Extração de minério de ferro, inclusive beneficiamentos e a aglomeração;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;Fabricação e refino de açúcar;Outros produtos alimentares;Fabricação de bebidas;Fabricação de produtos do fumo;Fabricação de produtos têxteis;Confecção de artefatos do vestuário e acessórios;Fabricação de calçados e de artefatos de couro;Fabricação de produtos da madeira;Fabricação de celulose, papel e produtos de papel;Impressão e reprodução de gravações;Refino de petróleo e coquerias;Fabricação de biocombustíveis;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal;Fabricação de produtos farmoquímicos e farmacêuticos;Fabricação de produtos de borracha e de material plástico;Fabricação de produtos de minerais não-metálicos;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;Metalurgia de metais não-ferosos e a fundição de metais;Fabricação de produtos de metal, exceto máquinas e equipamentos;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;Fabricação de máquinas e equipamentos elétricos;Fabricação de máquinas e equipamentos mecânicos;Fabricação de automóveis, caminhões e ônibus, exceto peças;Fabricação de peças e acessórios para veículos automotores;Fabricação de outros equipamentos de transporte, exceto veículos automotores;Fabricação de móveis e de produtos de indústrias diversas;Manutenção, reparação e instalação de máquinas e equipamentos;Energia elétrica, gás natural e outras utilidades;Água, esgoto e gestão de resíduos;Construção;Comércio e reparação de veículos automotores e motocicletas;Comércio por atacado e a varejo, exceto veículos automotores;Transporte terrestre;Transporte aquaviário;Transporte aéreo;Armazenamento, atividades auxiliares dos transportes e correio;Alojamento;Alimentação;Edição e edição integrada à impressão;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;Telecomunicações;Desenvolvimento de sistemas e outros serviços de informação;Intermediação financeira, seguros e previdência complementar;Atividades imobiliárias;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;Outras atividades profissionais, científicas e técnicas;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;Outras atividades administrativas e serviços complementares;Atividades de vigilância, segurança e investigação;Administração pública, defesa e seguridade social;Educação pública;Educação privada;Saúde pública;Saúde privada;Atividades artísticas, criativas e de espetáculos;Organizações associativas e outros serviços pessoais;Serviços domésticos;Consumo Intermediário total;"Exportação
de bens e
serviços";"Consumo
do governo";"Consumo
das
 ISFLSF";"Consumo 
das famílias";"Formação bruta
de capital fixo";"Variação
de estoque";P&D;P&D;;"Demanda
final";"Demanda
total";;;;
01921;Outros produtos alimentares;10;1.771;11.970;820;171;143;42;19;20.177;33;24.088;2.047;13;58;46;67;49;591;26;2.036;2.215;461;755;966;200;174;80;72;30;65;56;50;91;40;31;14;73;65;30;29;277;103;2.888;132;2;33;33;229;11.299;9;8;42;21;166;34;58;28;54;12;57;8;1.179;1.161;166;1.578;660;52;632;0;90.589;30.094;89;0;167.846;548;1.221;1.205.753;1.205,8;   Fabricação de produtos alimentícios;199.798;290.387;;0;0;0
01922;Fabricação de bebidas;11;21;14;1;4;16;10;3;369;2;101;6.429;3;6;9;7;4;10;2;65;3;14;13;11;8;12;8;12;5;25;14;13;53;16;10;8;11;35;12;3;98;8;84;22;1;8;5;408;23.106;2;2;7;5;94;6;10;3;5;2;14;1;77;69;15;73;173;27;17;0;31.703;2.699;3;0;39.340;169;959;100.270;100,3;   Fabricação de bebidas;43.169;74.872;;0;0;0
01923;Fabricação de produtos do fumo;12;1;1;0;0;0;0;0;3;0;3;1;297;0;1;1;0;1;0;2;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;3;0;3;1;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;2;0;0;0;342;5.872;0;0;7.620;60;1.059;0;0,0;   Fabricação de produtos do fumo;14.611;14.953;;0;0;0
01924;Fabricação de produtos têxteis;13;536;12;2;125;100;2;4;20;83;216;18;1;8.036;13.523;2.672;9;87;5;3;1;33;42;19;91;543;36;5;5;57;9;45;19;119;1.329;72;1.214;10;25;9;454;52;182;64;9;2;7;190;148;2;6;5;4;15;7;13;7;5;5;18;2;41;39;9;32;79;9;556;0;31.096;1.800;0;0;16.714;98;1.121;54.080;54,1;   Fabricação de produtos têxteis;19.734;50.830;;0;0;0
02801;Confecção de artefatos do vestuário e acessórios;14;14;4;7;4;74;1;0;14;2;17;3;1;79;1.593;86;1;5;1;6;1;3;7;2;2;10;11;5;1;36;3;4;7;4;31;2;27;4;85;76;47;3;276;151;6;128;68;70;165;1;95;29;2;414;27;8;109;24;2;101;142;391;424;3;38;55;96;638;0;5.747;1.331;14;0;56.435;94;543;92.534;92,5;   Confecção de artigos do vestuário e acessórios;58.417;64.164;;0;0;0
02802;Fabricação de calçados e de artefatos de couro;15;3;10;0;1;6;2;0;27;0;20;6;0;4;4;4.327;1;59;2;1;3;4;5;13;3;27;4;1;1;24;2;5;5;23;14;2;32;3;114;1;43;7;20;13;0;2;1;3;63;1;22;1;3;3;1;2;5;2;1;6;47;46;7;1;7;7;1;3;0;5.075;7.403;1;0;30.188;272;883;260.644;260,6;   Preparação de couros e fabricação de artefatos de couro,  artigos de viagem e calçados;38.748;43.823;;0;0;0
05801;Fabricação de produtos da madeira;16;539;372;25;5;2;1;0;50;1;372;85;0;29;2;1;2.977;439;0;2;1;22;41;1;1;2;35;19;0;226;1;5;261;121;87;136;5.198;2;389;6;4.990;13;2.269;5;0;0;97;4;22;1;106;8;6;19;420;18;4;4;4;121;1;65;25;17;5;14;14;194;0;19.905;6.850;0;0;2.173;111;-256;0;0,0;   Fabricação de produtos de madeira;8.877;28.782;;0;0;0
05802;Fabricação de celulose, papel e produtos de papel;17;444;152;19;6;56;86;20;2.665;22;3.181;221;515;507;295;614;777;13.265;1.026;122;50;98;163;1.341;743;1.797;1.369;40;18;1.127;665;364;129;240;654;51;802;20;77;56;358;578;5.242;166;47;19;274;171;1.185;766;109;58;457;1.280;280;1.416;351;435;359;1.773;34;646;632;439;127;773;64;479;0;52.320;24.032;0;0;13.316;249;1.207;325.632;325,6;   Fabricação de celulose, papel e produtos de papel;38.805;91.125;;0;0;0
06801;Impressão e reprodução de gravações;18;10;2;2;0;6;12;4;70;14;92;208;5;15;21;14;22;171;961;7;8;4;17;13;15;43;22;14;2;28;182;13;24;23;24;5;36;6;29;10;59;100;5.910;53;2;36;55;9;86;1.209;217;565;526;1.362;303;494;209;2.171;53;1.165;3;819;221;37;87;113;308;288;0;18.616;132;0;0;1.123;82;-1.075;22.425;22,4;   Impressão e reprodução de gravações;262;18.878;;0;0;0
07911;Refino de petróleo e coquerias;19;11.438;3.990;595;955;2.545;3.446;1.235;2.554;1.069;3.077;651;16;208;91;182;226;1.476;22;94.297;946;6.581;800;410;153;1.354;2.621;2.278;1.847;383;162;555;383;895;351;98;251;326;2.689;859;6.497;889;13.277;64.621;1.494;5.365;1.708;78;1.668;24;58;91;163;587;99;574;409;118;601;529;384;1.805;317;120;79;350;143;588;0;254.656;13.238;0;0;109.765;3;-3.900;109.765;109,8;      Fabricação de coque e biocombustíveis (álcool e outros);119.106;373.762;;0;0;0
