CÓDIGO;DESCRIÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRODUTO;PRODUTO;;0191;0192;0280;0580;0680;0791;0792;1091;1092;1093;1100;1200;1300;1400;1500;1600;1700;1800;1991;1992;2091;2092;2093;2100;2200;2300;2491;2492;2500;2600;2700;2800;2991;2992;3000;3180;3300;3500;3680;4180;4500;4680;4900;5000;5100;5280;5500;5600;5800;5980;6100;6280;6480;6800;6980;7180;7380;7700;7880;8000;8400;8591;8592;8691;8692;9080;9480;9700;;;;;;;;;;;;;;;;
Valores correntes em  1 000 000 R$;;;Agricultura, inclusive o apoio à agricultura e a pós-colheita;Pecuária, inclusive o apoio à pecuária;"Produção florestal; pesca e aquicultura";Extração de carvão mineral e de minerais não-metálicos;Extração de petróleo e gás, inclusive as atividades de apoio;Extração de minério de ferro, inclusive beneficiamentos e a aglomeração;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;Fabricação e refino de açúcar;Outros produtos alimentares;Fabricação de bebidas;Fabricação de produtos do fumo;Fabricação de produtos têxteis;Confecção de artefatos do vestuário e acessórios;Fabricação de calçados e de artefatos de couro;Fabricação de produtos da madeira;Fabricação de celulose, papel e produtos de papel;Impressão e reprodução de gravações;Refino de petróleo e coquerias;Fabricação de biocombustíveis;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal;Fabricação de produtos farmoquímicos e farmacêuticos;Fabricação de produtos de borracha e de material plástico;Fabricação de produtos de minerais não-metálicos;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;Metalurgia de metais não-ferosos e a fundição de metais;Fabricação de produtos de metal, exceto máquinas e equipamentos;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;Fabricação de máquinas e equipamentos elétricos;Fabricação de máquinas e equipamentos mecânicos;Fabricação de automóveis, caminhões e ônibus, exceto peças;Fabricação de peças e acessórios para veículos automotores;Fabricação de outros equipamentos de transporte, exceto veículos automotores;Fabricação de móveis e de produtos de indústrias diversas;Manutenção, reparação e instalação de máquinas e equipamentos;Energia elétrica, gás natural e outras utilidades;Água, esgoto e gestão de resíduos;Construção;Comércio e reparação de veículos automotores e motocicletas;Comércio por atacado e a varejo, exceto veículos automotores;Transporte terrestre;Transporte aquaviário;Transporte aéreo;Armazenamento, atividades auxiliares dos transportes e correio;Alojamento;Alimentação;Edição e edição integrada à impressão;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;Telecomunicações;Desenvolvimento de sistemas e outros serviços de informação;Intermediação financeira, seguros e previdência complementar;Atividades imobiliárias;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;Outras atividades profissionais, científicas e técnicas;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;Outras atividades administrativas e serviços complementares;Atividades de vigilância, segurança e investigação;Administração pública, defesa e seguridade social;Educação pública;Educação privada;Saúde pública;Saúde privada;Atividades artísticas, criativas e de espetáculos;Organizações associativas e outros serviços pessoais;Serviços domésticos;Consumo Intermediário total;"Exportação
de bens e
serviços";"Consumo
do governo";"Consumo
das
 ISFLSF";"Consumo 
das famílias";"Formação bruta
de capital fixo";"Variação
de estoque";P&D;P&D;;"Demanda
final";"Demanda
total";;;;
10933;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;30;21;14;2;6;313;79;19;55;4;53;21;3;12;21;13;8;20;176;21;4;21;13;12;14;40;21;30;13;26;13.526;449;684;332;165;97;73;718;283;22;630;56;382;80;10;9;161;5;34;9;266;308;1.741;356;22;366;732;121;46;1.191;130;264;580;134;259;326;68;720;0;26.409;3.516;2;0;33.223;25.041;2.251;1.822.687;1.822,7;   Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;64.033;90.442;;0;0;0
10934;Fabricação de máquinas e equipamentos elétricos;31;54;91;7;26;254;78;28;84;21;117;48;3;34;10;13;26;62;21;18;12;101;31;25;18;114;116;98;162;149;1.743;6.330;2.063;1.137;860;305;237;2.181;4.841;160;6.923;459;936;1.024;23;5;92;31;66;8;44;504;43;70;362;529;64;36;32;524;5;102;60;25;28;28;70;637;0;34.410;7.099;1;0;17.457;13.066;-1.228;744.227;744,2;   Fabricação de máquinas, aparelhos e materiais elétricos;36.395;70.805;;0;0;0
10935;Fabricação de máquinas e equipamentos mecânicos;32;42;49;7;107;2.568;2.508;702;111;12;123;117;3;12;13;14;71;55;28;109;13;55;39;41;27;132;59;207;92;338;227;585;12.393;1.371;278;461;87;7.723;253;83;3.216;367;472;202;117;15;169;9;76;10;13;59;85;25;29;43;73;16;20;1.041;6;107;43;8;122;39;13;44;0;37.554;22.170;2;0;4.590;54.601;-3.561;878.502;878,5;   Fabricação de máquinas e equipamentos;77.803;115.357;;0;0;0
10936;Fabricação de automóveis, caminhões e ônibus, exceto peças;33;6;4;0;1;13;21;3;5;47;7;6;0;4;1;2;1;2;0;0;0;5;20;3;6;9;9;3;5;6;39;134;103;5.421;226;98;7;85;117;12;191;549;83;853;1;0;8;2;6;0;2;14;4;5;10;14;33;1;13;16;2;49;9;2;14;10;4;11;0;8.340;32.598;0;0;67.911;53.230;-1.709;2.784.180;2.784,2;   Fabricação de veículos automotores, reboques e carrocerias;152.031;160.371;;0;0;0
10937;Fabricação de peças e acessórios para veículos automotores;34;26;23;2;4;112;91;22;52;5;70;80;1;8;4;16;10;8;9;5;2;17;16;23;8;62;27;56;26;160;113;214;532;34.153;9.450;128;46;371;167;18;772;13.790;217;9.759;4;10;18;9;59;1;4;23;9;20;27;32;66;4;142;68;3;709;236;17;122;17;16;26;0;72.316;12.916;0;0;1.357;2.928;-442;1.708.469;1.708,5;      Fabricação de peças e acessórios para veículos;16.759;89.075;;0;0;0
11001;Fabricação de outros equipamentos de transporte, exceto veículos automotores;35;5;5;1;3;30;24;6;25;3;26;30;1;1;5;3;5;10;4;4;3;12;7;11;14;18;12;45;11;70;10;33;90;99;51;5.393;18;1.142;32;8;183;110;66;532;5;2;11;2;18;1;1;7;9;6;5;8;35;2;6;12;1;158;4;4;9;26;5;53;0;8.549;23.023;0;0;7.137;7.869;-4.383;2.322.225;2.322,2;   Fabricação de outros equipamentos de transporte;33.647;42.196;;0;0;0
12001;Fabricação de móveis e de produtos de indústrias diversas;36;43;30;8;7;67;37;9;66;8;121;73;1;48;735;160;31;22;11;26;3;87;47;32;46;145;92;33;10;82;48;55;339;228;371;59;1.907;157;73;31;858;38;383;73;53;2;107;10;50;3;27;7;46;114;95;150;185;151;249;123;10;383;527;24;1.401;6.782;98;73;0;17.370;2.986;19;0;41.781;9.694;-811;264.012;264,0;   Fabricação de móveis /    Fabricação de produtos diversos;53.668;71.038;;0;0;0
13001;Manutenção, reparação e instalação de máquinas e equipamentos;37;74;27;76;671;3.027;1.339;736;993;551;567;385;11;141;265;170;523;2.462;1.035;544;715;1.125;486;153;535;478;2.160;7.441;1.670;729;66;438;1.296;208;651;473;673;966;1.761;1.065;1.932;720;4.107;1.205;1.678;743;3.017;6;274;428;146;385;1.027;303;141;830;173;134;814;811;218;934;141;1;887;578;541;516;0;59.377;2.558;0;0;38;9.726;-84;102.380;102,4;   Manutenção, reparação e instalação de máquinas e      equipamentos;12.237;71.614;;0;0;0
13002;Energia elétrica, gás natural e outras utilidades;38;6.740;4.279;376;664;393;1.127;468;1.572;115;3.044;622;56;1.385;218;285;842;1.911;134;42;127;4.240;603;211;263;2.205;3.299;3.854;2.601;1.259;163;604;617;533;1.298;256;387;281;90.989;3.917;596;1.541;20.303;1.470;66;44;1.262;1.402;1.905;131;397;1.926;674;2.386;722;1.249;313;220;177;7.262;111;5.278;1.727;2.354;1.131;1.795;1.070;2.725;0;202.216;116;0;0;89.910;259;-0;811.911;811,9;Eletricidade e gás;90.285;292.501;;0;0;0
13003;Água, esgoto e gestão de resíduos;39;9;2;1;26;70;219;63;167;68;313;507;1;63;28;24;223;306;6;364;29;672;387;129;73;467;645;4.238;2.020;166;19;56;84;104;288;93;77;28;77;1.031;254;353;3.853;301;10;7;755;375;1.157;26;53;48;107;434;427;519;65;34;44;5.125;30;9.335;1.247;246;1.339;2.069;121;1.726;0;43.206;22;0;0;31.499;19;406;0;0,0;;31.946;75.152;;0;0;0
14001;Construção;40;101;183;12;7;1.897;1.454;323;10;11;25;6;1;24;4;2;2;32;19;27;28;78;8;3;5;11;29;115;1.690;65;77;15;72;267;37;201;21;7;20;4.462;57.672;509;1.054;316;19;38;1.437;286;492;17;221;4.211;827;1.244;1.853;300;676;14;185;2.885;13;13.115;1.303;453;3.057;29;156;302;0;104.033;2.862;0;0;823;438.123;-2;0;0,0;;441.806;545.839;;0;0;0
15001;Comércio e reparação de veículos automotores e motocicletas;41;203;38;19;53;186;894;97;26;25;44;43;1;5;2;5;2;10;2;7;10;8;18;3;46;216;304;20;51;10;527;38;2.357;13.201;3.237;1.333;46;339;376;715;514;6.125;3.708;10.681;19;42;433;1;120;9;63;50;20;104;27;5;110;22;862;66;158;1.863;376;13;1.001;723;55;56;0;51.741;12.335;0;0;84.015;15.922;-5;0;0,0;;112.267;164.008;;0;0;0
16001;Comércio por atacado e a varejo, exceto veículos automotores;42;16.972;9.962;901;699;4.409;2.219;846;31.557;1.129;30.481;6.301;2.178;4.867;6.855;5.667;2.195;7.029;1.636;22.136;1.850;9.223;5.405;3.806;4.358;8.430;6.306;6.252;3.871;6.560;9.805;6.511;10.705;4.922;4.428;1.664;6.540;5.744;4.127;1.318;32.557;1.883;22.164;12.603;473;1.212;1.279;1.151;23.561;1.568;1.254;4.794;2.842;3.774;1.940;2.697;1.635;3.381;991;5.491;435;6.240;5.124;1.636;7.575;17.541;789;4.243;0;440.698;74.864;2.863;2;480.236;49.750;235;0;0,0;;607.951;1.048.649;;0;0;0
17001;Transporte terrestre;43;6.724;2.015;660;826;6.224;2.807;870;11.171;3.616;16.380;3.686;280;1.223;1.008;1.208;1.263;3.305;355;5.005;2.159;6.516;2.234;1.760;2.788;3.329;3.141;5.995;1.312;3.020;1.961;1.830;2.576;5.165;2.294;772;1.721;640;4.635;450;5.198;1.679;40.507;38.998;293;331;5.083;152;2.584;437;482;658;695;2.037;345;1.226;1.063;385;505;820;135;4.107;2.156;1.643;1.382;525;355;2.245;0;238.952;14.788;85;0;107.130;3.974;2;0;0,0;;125.979;364.931;;0;0;0
17002;Transporte aquaviário;44;37;28;2;2;5.115;5;14;1.148;126;427;15;4;18;19;11;147;1.157;16;95;35;683;21;43;7;57;118;325;28;45;48;49;235;207;86;104;11;18;16;4;85;17;997;676;1.036;4;56;4;64;2;4;7;19;16;9;16;5;4;4;208;2;14;6;13;7;18;12;13;0;13.846;6.121;2;0;1.996;93;0;0;0,0;;8.212;22.058;;0;0;0
18001;Transporte aéreo;45;1;0;2;3;1.963;11;29;251;8;218;41;20;28;33;51;40;84;16;33;5;240;217;11;111;40;98;79;10;48;228;144;170;213;91;49;35;68;483;40;1.008;188;3.011;203;90;13;689;66;60;13;139;158;599;2.004;60;817;252;489;74;301;21;870;275;1.922;324;5;95;5.788;0;24.747;5.956;0;0;9.805;0;0;0;0,0;;15.761;40.508;;0;0;0
19911;Armazenamento, atividades auxiliares dos transportes e correio;46;907;49;217;26;3.845;2.044;472;2.734;1.809;3.344;1.910;30;167;118;185;226;1.291;169;634;805;1.027;705;385;584;251;320;2.509;131;869;660;850;329;3.660;664;400;342;209;704;26;640;723;15.665;8.675;2.478;4.512;4.691;69;303;60;86;587;166;4.033;232;651;219;266;211;728;75;3.416;299;509;393;322;85;1.297;0;86.999;9.882;0;0;29.570;26;-1;0;0,0;;39.477;126.476;;0;0;0
19912;Alojamento;47;4;1;2;7;192;51;12;200;24;196;38;18;18;17;21;6;56;6;19;11;92;90;26;130;69;54;121;29;113;102;83;195;82;64;47;77;49;160;9;748;248;2.061;141;3;53;143;1;28;45;95;65;337;683;41;222;180;92;90;106;28;1.406;146;255;205;4;101;3.639;0;13.660;5.932;0;0;5.791;5;0;0;0,0;;11.729;25.389;;0;0;0
19913;Alimentação;48;5;1;2;2;276;11;10;10;4;128;4;1;11;5;2;1;10;13;5;3;95;105;3;246;18;4;31;52;31;6;3;82;396;17;4;4;87;288;13;33;168;809;46;8;911;60;246;44;6;664;89;42;2.696;79;1.434;12;227;16;1.351;7;9.126;1.646;276;3.911;4.049;70;7.757;0;37.773;4.491;0;0;216.265;4;0;0;0,0;;220.759;258.532;;0;0;0
19914;Edição e edição integrada à impressão;49;2;1;0;0;1;1;0;5;1;6;8;0;1;1;1;1;4;27;2;1;115;1;1;2;2;1;1;0;1;6;1;2;3;3;0;2;12;84;5;5;7;376;4;0;1;5;46;10;45;9;103;17;1.038;43;236;109;1.533;16;39;0;617;1.815;1.158;29;112;13;101;0;7.794;703;0;0;9.288;26;47;0;0,0;;10.064;17.858;;0;0;0
19915;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;50;2;1;0;0;1;0;0;4;0;3;1;0;1;1;1;0;1;0;2;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;4;1;12;3;0;0;1;4;4;10;4.883;4.398;2;4;1;2;0;30.849;0;29;3;1;1;1;1;3;124;1;0;40.375;510;0;0;2.087;6;0;39.928;39,9;  Edição e gravação e edição de música;2.603;42.978;;0;0;0
19916;Telecomunicações;51;8;4;6;22;598;73;24;579;162;1.102;312;12;165;441;149;74;295;250;158;115;234;193;26;188;268;325;147;53;308;661;350;330;1.051;1.060;134;382;100;383;149;950;925;5.611;815;30;58;677;202;626;93;261;18.346;1.362;7.037;512;2.258;298;2.220;95;1.517;228;4.485;811;1.184;374;1.005;224;1.306;0;64.402;1.318;0;0;98.635;246;0;2.954.913;2.954,9;   Telecomunicações;100.200;164.602;;0;0;0
19921;Desenvolvimento de sistemas e outros serviços de informação;52;27;14;1;1;55;224;31;451;15;788;70;30;38;49;16;13;166;4;47;3;329;191;27;342;129;76;160;27;109;191;337;163;739;126;54;113;85;1.436;395;422;386;8.063;871;1;719;1.298;68;120;410;1.104;2.875;9.005;16.159;331;2.558;52;6.743;324;950;180;9.343;1.428;396;1.980;13;189;1.428;0;74.489;5.587;1;0;1.406;67.234;30;1.769.087;1.769,1;   Atividades dos serviços de tecnologia da informação;74.258;148.747;;0;0;0
20911;Intermediação financeira, seguros e previdência complementar;53;6.747;2.453;602;622;4.399;1.817;617;5.678;2.009;5.745;1.501;310;944;1.177;870;575;2.468;380;3.383;1.180;4.109;1.511;912;1.133;2.050;1.915;2.663;1.200;1.660;1.872;1.388;2.305;3.171;1.332;900;1.084;760;7.571;1.500;8.504;2.986;30.357;9.356;651;1.428;3.620;661;3.616;469;1.093;7.154;3.061;78.700;24.327;4.981;1.302;1.001;1.325;5.674;1.118;59.293;869;2.581;376;5.456;1.032;2.550;0;346.054;9.407;2.140;314;288.636;613;0;0;0,0;;301.109;647.163;;0;0;0
20912;Atividades imobiliárias;54;6;4;7;18;332;30;17;516;143;402;55;17;245;310;82;30;128;42;128;161;143;75;135;194;324;146;227;9;212;147;91;163;94;177;53;198;47;1.000;255;986;3.024;31.491;1.057;64;102;2.304;1.004;4.503;162;390;1.849;1.399;4.351;1.841;4.206;663;785;827;2.712;210;2.225;494;3.989;386;1.887;3.408;2.630;0;85.316;2.836;0;0;521.706;0;0;0;0,0;;524.542;609.858;;0;0;0
20913;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;55;20;8;32;535;10.758;2.270;330;3.801;912;6.736;1.963;745;334;332;254;230;1.868;116;5.261;570;3.514;4.359;1.479;4.160;1.666;2.157;1.628;612;842;2.660;2.462;2.029;2.488;1.136;259;457;586;1.337;1.346;4.205;6.743;26.053;2.527;119;538;2.156;260;1.168;421;2.718;3.184;3.017;15.720;2.723;16.338;4.486;385;826;4.173;1.347;4.251;144;2.491;275;2.722;1.216;3.003;0;185.459;12.377;0;0;16.609;2;0;0;0,0;;28.988;214.447;;0;0;0
20914;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;56;665;19;0;31;1.257;278;98;651;227;671;142;67;39;101;77;32;297;23;98;157;488;334;251;539;517;307;244;166;271;375;237;981;1.091;456;111;156;146;1.907;311;1.910;67;1.102;225;9;1;2.959;9;25;1;2;22;221;394;19;22;1.624;4;48;29;1;3.971;1.470;87;1.194;11;17;14;0;29.278;20.801;0;0;858;6.470;-5;4.897.996;4.898,0;     Serviços de arquitetura e engenharia, testes e análises técnicas / Pesquisa e desenvolvimento;28.124;57.402;;0;0;0
20921;Outras atividades profissionais, científicas e técnicas;57;14;416;99;35;675;11;1;2.142;194;3.509;4.914;220;87;374;866;34;506;57;191;99;119;444;1.213;1.791;487;250;212;17;503;1.320;683;425;4.423;159;264;421;132;3.287;200;1.520;2.530;17.378;717;45;214;1.193;316;797;698;1.895;3.053;1.841;9.150;907;4.269;374;1.690;895;1.554;176;3.693;628;2.729;966;43;1.573;1.458;0;93.094;2.588;0;0;1.456;2;0;0;0,0;;4.045;97.139;;0;0;0
20922;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;58;172;24;31;107;5.122;707;134;188;189;549;184;19;31;55;40;70;382;88;202;53;228;204;46;97;293;211;434;138;320;217;106;294;795;287;244;124;188;413;662;1.532;394;4.096;1.798;498;1.231;994;72;617;276;503;1.821;1.181;665;159;388;373;119;667;481;132;1.328;542;933;628;395;282;150;0;35.907;4.664;0;0;2.531;409;0;0;0,0;;7.604;43.511;;0;0;0
20923;Outras atividades administrativas e serviços complementares;59;31;16;28;523;937;596;207;804;543;1.308;1.071;139;217;195;288;49;636;35;239;484;584;816;410;1.236;684;781;546;540;745;889;709;1.893;1.493;402;166;293;410;3.339;407;2.076;1.997;33.077;2.232;101;1.089;3.067;901;2.208;239;968;17.132;5.720;20.622;1.538;4.338;559;636;618;6.435;381;23.602;10.393;4.171;9.050;4.057;1.282;6.428;0;189.607;6.471;0;32.434;12.829;61;0;0;0,0;;51.795;241.402;;0;0;0
20931;Atividades de vigilância, segurança e investigação;60;2;1;2;8;120;72;19;348;133;315;126;121;33;34;49;57;424;16;116;2;264;168;39;223;206;411;75;64;199;141;101;239;653;302;98;61;203;363;538;643;731;5.349;1.588;27;216;3.104;108;683;34;296;630;545;5.134;211;884;12;189;117;799;46;7.371;3.121;1.565;1.355;2;178;4;0;41.285;7;0;0;506;4;0;0;0,0;;517;41.802;;0;0;0
21001;Administração pública, defesa e seguridade social;61;161;83;18;25;513;206;41;437;118;848;538;63;34;54;89;53;204;14;187;61;508;239;190;344;164;183;505;223;141;207;193;219;624;147;62;76;71;567;164;392;418;3.273;513;96;202;477;78;251;71;267;464;387;1.507;203;890;396;292;116;729;58;1.655;356;393;353;384;212;595;0;23.603;2.207;763.066;222;12.636;10.414;65;0;0,0;;788.609;812.212;;0;0;0
22001;Educação pública;62;2;0;0;2;10;44;1;34;6;23;34;6;1;6;10;4;13;0;3;1;40;13;28;78;14;13;14;38;7;19;49;45;90;51;10;9;2;48;6;17;9;159;15;1;2;14;2;6;1;3;60;45;66;4;43;234;7;13;27;3;50;19;10;20;20;5;21;0;1.652;69;321.118;3;1.078;12.731;0;0;0,0;;334.999;336.651;;0;0;0
22002;Educação privada;63;6;3;0;1;37;173;33;12;1;34;3;1;3;2;2;1;49;0;13;1;17;34;2;5;5;2;243;86;83;4;4;29;98;6;1;2;12;160;2;12;36;1.082;1.342;99;16;328;4;16;1;1;70;5;2.055;5;3.363;199;669;70;2.001;165;450;443;10;505;8;8;533;0;14.668;73;0;0;118.208;584;0;0;0,0;;118.866;133.534;;0;0;0
23001;Saúde pública;64;0;0;0;0;0;4;0;3;0;2;3;1;0;1;1;0;1;0;0;0;4;1;3;8;1;1;1;4;0;2;5;4;9;5;1;1;0;4;0;1;0;7;0;0;0;0;0;0;0;0;3;4;0;0;0;25;0;1;0;0;1;0;0;0;254;0;0;0;370;3;189.590;79;1.651;1.398;0;0;0,0;;192.720;193.090;;0;0;0
23002;Saúde privada;65;0;0;0;0;1;0;0;2;1;2;0;0;1;1;0;0;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;4;1;4;12;129;4;0;0;9;4;18;1;2;8;6;18;7;17;5;3;3;11;1;65;8;16;12;28.243;14;11;0;28.663;224;43.119;8.781;183.859;105;0;0;0,0;;236.088;264.751;;0;0;0
23003;Atividades artísticas, criativas e de espetáculos;66;2;13;3;1;21;1;0;66;6;105;141;7;4;12;26;1;16;2;8;3;5;14;35;52;16;8;7;1;16;39;21;14;127;6;8;13;5;97;7;50;81;588;25;1;7;41;24;38;21;1.813;363;57;274;31;134;13;104;28;71;6;615;76;89;67;8;697;883;0;7.132;1.857;0;8.383;21.931;6;0;0;0,0;;32.178;39.310;;0;0;0
24911;Organizações associativas e outros serviços pessoais;67;137;38;22;39;779;264;60;233;89;253;142;15;64;114;68;68;141;47;138;59;129;54;55;112;186;164;134;56;255;265;156;211;269;169;65;127;6;597;2;144;75;2.896;433;6;10;1.226;149;198;33;159;3.040;1.190;1.888;115;462;67;436;126;1.151;36;583;107;495;1.270;2.597;24;503;0;25.204;49;1;40.888;86.102;81;0;0;0,0;;127.121;152.325;;0;0;0
97001;Serviços domésticos;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71.458;0;0;0;0,0;;71.458;71.458;;0;0;0
;Prod Nac;69;126.346;61.747;7.506;8.880;74.697;28.498;9.312;209.068;46.957;200.945;46.186;10.275;27.943;29.278;22.838;15.005;51.909;8.622;229.711;35.425;80.166;42.654;26.394;27.364;58.516;44.701;71.710;34.539;48.685;41.649;40.925;60.319;108.540;50.667;19.581;32.377;32.208;148.265;23.916;254.965;55.960;347.401;183.419;9.734;20.127;45.733;10.433;111.377;7.948;21.144;79.755;39.750;189.599;44.874;60.178;18.299;56.464;12.300;64.284;6.249;192.702;44.819;33.475;51.361;94.460;15.364;59.420;0;4.375.914;824.434;1.327.758;91.107;3.567.532;829.283;4.386;;;;6.644.499;11.020.413;;0;0;0
;Importado;70;17.740;4.543;460;1.285;21.707;4.019;1.556;5.091;985;13.030;3.021;681;4.514;3.891;2.611;1.226;6.928;1.229;39.058;1.164;37.676;12.691;4.813;3.938;13.275;4.852;15.187;8.218;6.107;24.647;9.057;11.741;21.063;9.499;7.032;3.925;9.122;11.243;3.016;21.831;8.121;22.467;12.271;1.759;5.539;5.054;507;6.574;878;2.264;6.166;6.110;9.818;2.189;3.457;2.944;2.219;2.127;4.878;587;13.038;4.148;3.531;6.390;8.858;1.284;8.608;0;525.461;0;0;0;184.516;67.160;0;;;;251.676;777.137;;0;0;0
;Imp Import;71;503;160;17;62;313;152;42;188;11;418;152;20;500;773;332;74;213;47;62;36;662;473;206;122;968;164;168;90;373;892;585;871;1.838;752;197;279;625;318;48;1.500;640;287;635;10;28;33;18;218;6;19;36;70;37;54;57;74;24;33;180;11;117;101;10;205;522;14;115;0;18.762;0;0;0;9.244;4.278;0;;;;13.522;32.284;;0;0;0
;ICMS Total;72;6.895;3.827;411;263;1.599;710;225;6.906;399;6.198;2.452;425;1.166;1.727;1.830;896;1.845;437;7.973;535;1.938;1.032;1.274;1.443;1.803;2.094;1.319;822;1.583;2.293;1.378;1.626;2.564;1.554;1.013;1.656;1.135;15.638;1.024;10.517;1.445;9.416;7.237;111;1.856;705;646;9.371;303;378;4.613;885;3.031;838;1.505;617;1.089;419;3.177;234;4.763;1.960;1.013;3.222;6.748;426;3.095;0;169.526;0;0;0;260.555;15.573;0;;;;276.128;445.654;;0;0;0
;Zeros;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;0;0;0
;IPI Total;74;83;98;8;41;111;80;21;298;16;410;617;201;58;86;93;83;236;69;86;10;72;96;185;49;421;135;91;44;289;1.069;370;417;1.177;414;587;247;416;218;37;1.417;390;516;501;6;30;30;47;1.733;28;36;42;159;80;67;115;78;54;43;314;16;130;126;31;130;414;26;207;0;15.807;0;0;0;24.469;6.765;0;;;;31.234;47.041;;0;0;0
;Zeros;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;0;0;0
;Outros IIL Total;76;5.177;1.822;262;503;6.483;1.500;534;5.226;1.547;5.000;2.292;191;1.099;1.084;819;519;2.592;374;40.585;1.065;6.250;2.511;1.281;1.208;2.898;2.365;3.369;1.978;2.016;2.861;2.046;2.799;5.117;2.269;934;1.186;1.546;6.351;1.337;10.809;2.628;17.227;6.575;994;2.868;2.642;407;5.036;389;1.489;4.730;2.479;15.135;3.783;2.971;1.051;2.312;776;3.039;373;13.863;1.953;1.651;1.951;3.073;767;3.055;0;243.018;0;0;0;109.835;35.720;0;;;;145.556;388.574;;0;0;0
;Zeros;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;0;0;0
;CONSUMO INTERMEDIÁRIO;78;156.744;72.197;8.664;11.034;104.911;34.958;11.690;226.776;49.915;226.001;54.719;11.792;35.280;36.840;28.522;17.802;63.723;10.779;317.475;38.234;126.765;59.457;34.153;34.124;77.881;54.312;91.843;45.691;59.054;73.412;54.361;77.773;140.299;65.154;29.344;39.670;45.052;182.034;29.377;301.039;69.183;397.315;210.638;12.614;30.449;54.197;12.058;134.309;9.552;25.330;95.341;49.453;217.700;51.804;68.283;23.062;62.162;15.699;75.872;7.470;224.612;53.107;39.711;63.259;114.075;17.881;74.500;0;5.348.487;824.434;1.327.758;91.107;4.156.152;958.779;4.386;;;;7.362.616;12.711.103;;0;0;0
R10;Remunerações;79;32.555;23.728;2.350;4.202;17.664;3.009;2.452;28.453;9.514;34.376;9.248;1.644;10.992;18.425;10.866;6.595;13.738;5.773;7.664;6.646;12.474;9.238;6.015;11.415;21.093;19.715;12.557;5.942;22.154;9.380;14.537;26.674;19.711;20.253;8.479;16.027;12.476;18.809;21.810;103.928;46.262;335.937;86.939;5.366;6.369;44.134;10.872;54.530;6.552;11.023;18.506;53.450;162.747;8.174;58.861;19.743;13.894;11.011;110.233;30.416;503.269;270.847;80.461;123.561;79.425;12.768;41.148;71.458;2.920.537;0;0;0;0;0;0;;;;0;2.920.537;;0;0;0
